Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate
Iowa,US,2021-01-09 05:30:45,42.0115,-93.2105,294762,4124,253501,37137,19,9342.48685449134,1192481,,1.3990948629742,84000019,USA,37795.7065928807,
Kansas,US,2021-01-09 05:30:45,38.5266,-96.7265,244583,3164,4838,236581,20,8395.35319570771,1051207,,1.29363038314192,84000020,USA,36082.8595887707,
Kentucky,US,2021-01-09 05:30:45,37.6681,-84.6701,296166,2856,38445,254865,21,6629.08856579253,3300295,,0.964324061506047,84000021,USA,73870.558565947,
Louisiana,US,2021-01-09 05:30:45,31.1695,-91.8678,341431,7833,280373,53225,22,7344.50698396186,4399258,,2.29416778207017,84000022,USA,94632.2422546579,
Maine,US,2021-01-09 05:30:45,44.6939,-69.3819,28407,426,11690,16291,23,2113.28272623664,1172721,,1.49963037279544,84000023,USA,87242.2653569526,
Maryland,US,2021-01-09 05:30:45,39.0639,-76.8021,299606,6216,9419,283971,24,4955.7039075836,6029482,,2.07472480524422,84000024,USA,99732.0731497532,
Massachusetts,US,2021-01-09 05:30:45,42.2302,-71.5301,419721,12985,293522,113214,25,6089.52944960633,11525766,,3.09372178185032,84000025,USA,167221.777052545,
Michigan,US,2021-01-09 05:30:45,43.3266,-84.5361,559655,13913,363611,182131,26,5603.91522578124,8463228,,2.48599583672084,84000026,USA,84743.6585904855,
Minnesota,US,2021-01-09 05:30:45,45.6945,-93.9002,431944,5688,409727,16529,27,7659.0813017587,5597732,,1.31683736780694,84000027,USA,99257.0437220017,
Mississippi,US,2021-01-09 05:30:45,32.7416,-89.6787,233665,5101,182103,46461,28,7851.25341506759,1417243,,2.18303982196735,84000028,USA,47620.0284327162,
Missouri,US,2021-01-09 05:30:45,38.4561,-92.2884,473282,6131,,,29,7711.40614602729,3773583,,1.29542217958849,84000029,USA,61484.7620208335,
Montana,US,2021-01-09 05:30:45,46.9219,-110.4544,85568,1049,79114,5405,30,8006.15282125942,831887,,1.22592557965595,84000030,USA,77835.3409220624,
Nebraska,US,2021-01-09 05:30:45,41.1254,-98.2681,174614,1733,117589,55292,31,9026.74099776262,1825632,,0.992474830196891,84000031,USA,94376.7809066133,
Nevada,US,2021-01-09 05:30:45,38.3135,-117.0554,243661,3394,,,32,7910.67075823432,2198483,,1.39291885036998,84000032,USA,71375.7030488066,
New Hampshire,US,2021-01-09 05:30:45,43.4525,-71.5639,51289,846,42495,7948,33,3772.0515609567,1085829,,1.6494764959348,84000033,USA,79857.3373312417,
New Jersey,US,2021-01-09 05:30:45,40.2989,-74.521,572692,19756,58799,494137,34,6447.64410578923,8191028,,3.4496727734978,84000034,USA,92218.5632147027,
New Mexico,US,2021-01-09 05:30:45,34.8405,-106.2485,153456,2710,75883,74863,35,7318.47947543648,2061985,,1.7659785215306,84000035,USA,98338.252666288,
New York,US,2021-01-09 05:30:45,42.1657,-74.9481,1101445,39098,108144,954203,36,5661.91968658078,26816135,,3.54970062054846,84000036,USA,137846.921702407,
North Carolina,US,2021-01-09 05:30:45,35.6301,-79.8064,602774,7328,487090,108356,37,5747.22704356678,7406550,,1.21571268833759,84000037,USA,70618.7135800972,
North Dakota,US,2021-01-09 05:30:45,47.5289,-99.784,94438,1359,90964,2115,38,12392.4300122562,1273911,,1.43903936974523,84000038,USA,167166.319800751,
Northern Mariana Islands,US,2021-01-09 05:30:45,15.0979,145.6739,125,2,29,94,69,226.679239808501,17554,,1.6,580,MNP,31833.0190047875,
Ohio,US,2021-01-09 05:30:45,40.3888,-82.7649,762603,14767,621185,126651,39,6524.05232224893,8033268,,1.93639416577171,84000039,USA,68724.4355852889,
Oklahoma,US,2021-01-09 05:30:45,35.5653,-96.9289,320974,2703,280430,37841,40,8111.60860162988,2797914,,0.842124284209936,84000040,USA,70708.4787833927,
Oregon,US,2021-01-09 05:30:45,44.572,-122.0709,122847,1575,5870,115402,41,2912.62826487285,2786624,,1.28208259053945,84000041,USA,66069.1740618251,
Pennsylvania,US,2021-01-09 05:30:45,40.5908,-77.2098,712142,17458,513383,181301,42,5562.74497658137,7975747,,2.45147737389453,84000042,USA,31679.7803841262,
Puerto Rico,US,2021-01-09 05:30:45,18.2208,-66.5901,82067,1592,72747,7728,72,2569.65758147149,1420147,,1.93987839204552,630,PRI,44467.2219692932,
Rhode Island,US,2021-01-09 05:30:45,41.6809,-71.5118,97614,2048,5860,89706,44,9214.422656677,2115967,,2.09805970455058,84000044,USA,199739.937566137,
South Carolina,US,2021-01-09 05:30:45,33.8569,-80.945,344176,5695,164575,173906,45,6684.69835380252,3398114,,1.65467667704895,84000045,USA,65999.2767125927,
